star1,star2,star3,star4,star5
not,not,not,buffet,buffet
food,food,food,not,food
buffet,buffet,buffet,food,not
go,go,good,dessert,!
no,good,dessert,good,vega
get,dessert,like,!,dessert
!,like,go,like,best
good,get,tri,vega,go
place,would,get,go,wick
disappoint,place,would,get,all
veri,no,all,tri,good
like,all,come,all,spoon
one,disappoint,wick,wick,great
time,veri,spoon,come,get
up,tri,select,spoon,come
all,come,!,one,love
eat,one,time,great,one
servic,time,place,veri,everyth
pay,spoon,vega,would,tri
would,wick,realli,select,place
dessert,vega,veri,gelato,like
vega,!,servic,time,make
better,thing,one,place,time
tri,price,think,make,brunch
wick,up,pretti,also,eat
come,better,dish,love,veri
wait,servic,better,dish,amaz
look,realli,price,eat,servic
never,select,thing,realli,back
crab,eat,also,everyth,select
spoon,tast,up,littl,gelato
tast,look,no,brunch,favorit
qualiti,think,make,definit,definit
say,dinner,dinner,chees,worth
line,make,great,plate,delici
thing,crab,eat,price,dish
give,say,lot,servic,also
person,dish,gelato,dinner,realli
select,qualiti,brunch,pretti,qualiti
realli,much,look,think,well
worth_neg,noth,littl,up,would
dri,?,tast,thing,price
even_neg,pay,chees,best,littl
even,leg,everyth,back,serv
leg,plate,plate,serv,dinner
review,rib,say,varieti,portion
sushi,also,rib,rib,chees
ask,great,disappoint,bar,up
much,everyth,nice,lot,plate
peopl,pretti,wait,delici,varieti
take,expect,much,line,thing
price,even,noth,well,tast
think,nice,qualiti,bone,salad
buffet_neg,first,crab,favorit,even
could,worth_neg,item,nice,ever
everyth,back_neg,best,salad,bar
dinner,wait,buffet_neg,marrow,fresh
back_neg,best,overal,portion,mani
bad,give,salad,no,rib
make,buffet_neg,back,worth,think
plate,sushi,marrow,qualiti,bone
us,could,line,wait,marrow
food_neg,review,serv,chocol,no
tabl,gelato,sushi,station,take
all_neg,around,expect,mac,nice
hour,chees,station,small,line
want,food_neg,bone,item,say
good_neg,tabl,give,buffet_neg,chocol
?,dri,meat,crab,much
first,star,bar,bite,buffet_neg
best,littl,first,better,everi
pm,line,present,tast,want
rib,person,could,chicken,present
dish,want,bite,take,small
still,all_neg,definit,much,chicken
worst,take,want,could,wait
meat,lot,?,mani,lot
money,salad,chocol,say,item
noth,bone,pay,meat,station
serv,good_neg,well,fri,experi
sit,prime,varieti,prime,could
littl,small,mac,enjoy,recommend
not_neg,chicken,star,sushi,mac
way,serv,though,person,bite
also,marrow,small,differ,first
cold,station,leg,amaz,look
day,two,chicken,option,differ
expect,back,howev,strawberri,flavor
long,item,person,even,fri
around,brunch,even,leg,awesom
mani,not_neg,love,look,person
star,bar,still,overal,option
great,meat,take,want,crab
minut,seafood,good_neg,asian,breakfast
station,definit,prime,fresh,drink
tell,mac,asian,shrimp,la
ever,mayb,probabl,flavor,mimosa
back,end,mani,drink,pretti
last,mediocr,really_neg,still,strawberri
pretti,peopl,mayb,present,individu
