word,IG
not,0.05168781317625459
great,0.03839356425561302
!,0.03186197638392452
good,0.030293067950843522
worst,0.028237779126025098
no,0.026714010103406016
amaz,0.026690881138804468
tell,0.025952792518477263
disappoint,0.024313498508342857
back_neg,0.02361304642168216
rude,0.02356860490925694
recommend,0.02181306500677649
horribl,0.0201240927744597
delici,0.01991863547042172
love,0.019577992041997838
say,0.01956815409483248
even_neg,0.019288381439324098
ask,0.019200182742582284
best,0.017771568731157927
never,0.0172440848569535
friendli,0.017034924226317916
pretti,0.016081988156047222
terribl,0.016033104299713274
bad,0.015663706570398173
manag,0.015635250559213
not_neg,0.015204193632234464
call,0.015026418643256934
highli,0.014066348764179448
pay,0.014058241492632018
order,0.013887619977265953
would,0.012307697643678894
awesom,0.011938818547730712
minut,0.011826258927093436
wait,0.011614206104413327
decent,0.011445878089096917
ok,0.011278113980447202
noth,0.011003340027324837
definit,0.010996015504112222
like,0.010882553027727226
?,0.010839590201117355
bite,0.01078322087864847
charg,0.010659457435991282
howev,0.010211463034694335
leave,0.009828181908448475
excel,0.00963846432113713
perfect,0.009609679359261714
overal,0.00950336247406458
money,0.009486035221157874
custom,0.00932645193492787
nice,0.009304452171283506
poor,0.009261508377470529
seem,0.009256721188274364
thank,0.009159688547463851
anoth,0.009152816094831318
littl,0.009122397930966475
one_neg,0.008711414382249094
food,0.008654142942298604
favorit,0.008627289731898413
bland,0.008581784635110168
could,0.0085012160936917
okay,0.00849188970975523
better,0.008441324685490859
fresh,0.008139292046422275
tasti,0.00810732571551287
lack,0.007982940824099893
star,0.00788627052711477
mayb,0.007875540930750269
worth_neg,0.0078038517303749
averag,0.007544058938061093
aw,0.0075286841173933805
profession,0.007313451587704689
recommend_neg,0.007174523327886151
wrong,0.00714949869824677
going_neg,0.007097821236389024
money_neg,0.007077630362258169
mediocr,0.007008502297910946
get,0.006921331141048981
though,0.0069022685431618935
enjoy,0.0068265258747630675
give,0.006741856178472894
still,0.006684118360651414
all_neg,0.00666301048806428
think,0.006660706325456234
fantast,0.006654521989397866
later,0.006597994056169343
up,0.006592961466241665
good_neg,0.006538694205770579
up_neg,0.0065299419619515575
us_neg,0.006489802352565022
slow,0.006439311456216457
phone,0.0063905431309110305
tabl,0.006372879221890226
wast,0.006323147330755008
return_neg,0.006307230215639725
alway,0.006265469751651542
ok.,0.006222419783363797
guess,0.0059901646867093206
final,0.005946849760323669
would_neg,0.005945122174343176
take,0.005885945395250669
